"plays","loads","finishes","downloads","likes","comments","uri","name","created_time","sizes","unique_viewers","unique_loads","mean_percent","mean_seconds","sum_seconds"
0,2,0,0,0,0,/videos/642021998,"Rola 35 Izadora X Leticia",2021-11-03T18:03:32+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642020662,"Rola 34 Isaque X Piaui",2021-11-03T18:00:09+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/642019515,"Rola 33 Matheus X Carlos",2021-11-03T17:56:53+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/642018278,"Rola 32 Tigrão X Rafael Paganini",2021-11-03T17:53:32+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/642017123,"Rola 32 Meyram X Carlos",2021-11-03T17:50:16+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/642016209,"Rola 31 Tigrão X Alex",2021-11-03T17:47:52+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/642015456,"Rola 30 Larissa X Izadora",2021-11-03T17:45:44+00:00,Array,0,1,0,0,0
0,3,0,0,0,0,/videos/642014983,"Rola 29 Erich X Tigrão",2021-11-03T17:44:22+00:00,Array,0,2,0,0,0
0,1,0,0,0,0,/videos/642014565,"Rola 28 Yatan X Tigrão",2021-11-03T17:43:08+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642012938,"Rola 26 Gabriel Galvão X Patrick Gaudio",2021-11-03T17:38:44+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642011430,"Rola 25 Gabriel Galvão X Rafa paganini",2021-11-03T17:34:25+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/642009451,"Rola 24 isaque X Rafa paganini",2021-11-03T17:29:10+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642007556,"Rola 23 Patrick X Rafa paganini",2021-11-03T17:24:12+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/642005869,"Rola 22 Patrick X Gabriel galvao",2021-11-03T17:19:47+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642003450,"Rola 21 Nicholas X Veloso",2021-11-03T17:13:13+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642001065,"Rola 20 Piaui X Matheus",2021-11-03T17:06:51+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641999381,"Rola 19 Wesley X Matheus",2021-11-03T17:02:20+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/641997956,"Rola 18 Piaui X Wesley",2021-11-03T16:58:50+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/641996978,"Rola 18 Piaui X Matheus",2021-11-03T16:56:12+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/641996153,"Rola 17 - Jhonathan X Piaui",2021-11-03T16:54:04+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641994665,"Rola 15 - Yatan X Anderson",2021-11-03T16:50:00+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/641993686,"Rola 14 - Erich X Anderson",2021-11-03T16:47:33+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641992701,"Rola 13 - Tamiris X Larissa M",2021-11-03T16:45:02+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/641991740,"Rola 12 - Izadora X Larissa M",2021-11-03T16:42:31+00:00,Array,0,1,0,0,0
0,3,0,0,0,0,/videos/641989145,"Rola 11 - Gabriel Puff X Carlos",2021-11-03T16:35:26+00:00,Array,0,2,0,0,0
0,1,0,0,0,0,/videos/641987318,"Rola 10 - Kevin X Pedro",2021-11-03T16:30:35+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641984618,"Rola 9 - Rafa X Isaque",2021-11-03T16:23:51+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641982007,"Rola 8 - Magrela X Izadora",2021-11-03T16:17:31+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/641979823,"Rola 7 - Alex X Piaui",2021-11-03T16:12:07+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/641977071,"Rola 6 - Kevin X Kleber",2021-11-03T16:05:23+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641975975,"Rola 5 - Rafael X Tigrão",2021-11-03T16:02:41+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/641973501,"Rola 3 - Alex X Piauí",2021-11-03T15:56:40+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/641971975,"Rola 2 - Erich x Anderson",2021-11-03T15:53:01+00:00,Array,0,1,0,0,0
